,S,K,T,ANN_price
146657,19443.5,19450.0,15,204.31
136820,19624.7,19600.0,14,206.57
77713,18856.85,18750.0,22,301.44
91903,19833.15,19700.0,43,442.67
150917,19731.8,19850.0,6,96.66
95184,19680.6,20400.0,65,152.17
138292,19281.75,19800.0,24,59.14
167825,21418.65,20000.0,10,1494.63
93622,19745.0,20000.0,69,378.51
103969,19428.3,20050.0,48,126.54
103296,19543.1,13000.0,49,6505.61
169636,21150.15,21650.0,8,30.4
150944,19731.8,21200.0,6,1.57
114814,19611.05,18600.0,1,1010.27
93814,19672.35,18850.0,3,857.46
103540,19428.3,18950.0,6,554.36
170366,21255.05,20650.0,0,669.02
173917,21778.7,21100.0,0,722.16
138370,19281.75,17750.0,38,1705.05
162573,20969.4,21800.0,6,6.54
143567,19133.25,18100.0,7,1084.39
132460,19811.35,18100.0,15,1756.67
101948,19570.85,19300.0,79,744.65
136846,19624.7,20900.0,14,3.78
144385,19230.6,19500.0,13,71.98
99454,19381.65,21150.0,14,2.39
76703,18816.7,18400.0,2,446.97
166797,21456.65,19900.0,6,1609.06
78788,18665.5,19050.0,6,19.13
114331,19574.9,19850.0,9,46.75
175351,21731.4,22400.0,34,73.97
81334,18972.1,17500.0,64,1687.54
87733,19384.3,20750.0,1,0.77
151372,19731.8,20650.0,41,51.96
119930,20192.35,20750.0,20,31.75
174464,21778.7,20650.0,28,1278.47
147332,19395.3,21200.0,7,1.29
165472,20926.35,21400.0,22,60.13
173915,21778.7,21000.0,0,814.92
159894,20855.1,21750.0,2,4.55
99182,19381.65,20400.0,0,1.76
114517,19574.9,20850.0,23,7.09
164865,20906.4,20950.0,79,547.21
100304,19517.0,19500.0,27,296.06
173817,21654.75,23000.0,183,391.48
107300,19393.6,19800.0,24,71.13
94251,19672.35,19250.0,38,685.69
74902,18688.1,18950.0,7,33.44
82047,19189.05,18800.0,90,871.95
80982,18972.1,20200.0,8,2.05
121273,19901.4,20800.0,15,9.12
87112,19439.4,20700.0,9,2.18
93337,19745.0,19300.0,20,622.8
93797,19672.35,17950.0,3,1778.84
151322,19731.8,14000.0,41,5755.87
123870,19664.7,20500.0,2,4.03
82966,19389.0,18600.0,2,779.55
94372,19672.35,19100.0,66,940.82
146931,19443.5,19850.0,50,212.41
113871,19528.8,19350.0,24,378.4
94862,19680.6,19000.0,16,787.94
130799,19512.35,20400.0,3,3.8
152772,19783.4,19500.0,37,570.34
119754,20192.35,18200.0,13,2028.98
156758,20133.15,21300.0,0,1.07
102086,19632.55,20250.0,1,5.26
92244,19979.15,21350.0,0,0.68
85591,19331.8,19100.0,13,368.5
136165,19671.1,20200.0,22,42.1
104451,19434.55,20400.0,17,7.1
85944,19331.8,19500.0,55,344.79
82977,19389.0,19150.0,2,269.54
124596,19716.45,19950.0,1,19.6
105828,19365.25,17900.0,14,1515.23
105035,19465.0,20150.0,8,7.58
76451,18755.45,17700.0,38,1214.9
155574,19889.7,18300.0,30,1712.4
158164,20267.9,21350.0,90,131.33
97156,19753.8,19500.0,17,395.26
139082,19122.15,21300.0,22,2.41
77339,18856.85,17400.0,1,1491.42
136732,19624.7,21450.0,7,1.21
158554,20686.8,20250.0,10,562.0
153618,19811.85,19200.0,64,961.09
118613,20070.0,19900.0,29,401.73
144497,19230.6,19750.0,20,38.48
156179,20096.6,19600.0,15,622.61
