Index Name,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield,TIMESTAMP
Nifty Smallcap 250,11184.55,11212.9,11127.6,11141.85,5.0,.04,906983958,13986.14,21.71,3.63,1.06,2023-07-25
Nifty Smallcap 50,5221.8,5232.25,5179.85,5187.35,-8.7,-.17,497247511,4799.76,20.27,3.56,1.71,2023-07-25
Nifty MidSmallcap 400,12894.2,12916.2,12831,12877.5,42.75,.33,1669989117,28223.46,24.98,3.63,1.07,2023-07-25
Nifty Midcap 150,13828.5,13846.15,13755.9,13829.15,66.95,.49,763005159,14237.32,27.14,3.62,1.08,2023-07-25
Nifty Midcap Select,8447.45,8447.75,8376.85,8426.85,28.85,.34,157189664,3983.03,35.48,3.35,.78,2023-07-25
NIFTY LargeMidcap 250,11342,11344.8,11282.95,11334.55,35.2,.31,1376061833,52414.28,25.7,4.14,1.19,2023-07-25
NIFTY SME EMERGE,-,-,-,7919.55,37.97,.48,-,-,58.33,5.38,.1,2023-07-25
Nifty Oil & Gas,8023.75,8069.75,8007.25,8060.25,55.2,.69,66718261,2638.14,15.7,1.92,2.78,2023-07-25
Nifty Financial Services 25/50,20735.9,20736.8,20522.3,20643.0,7.7,.04,146312283,14683.64,17.64,3.89,.93,2023-07-25
Nifty Healthcare Index,9283.9,9299.65,9254.7,9278.5,34.35,.37,16897900,1902.86,35.99,5.57,.73,2023-07-25
Nifty500 Multicap 50:25:25,11288.4,11292.25,11232.7,11270.35,22.95,.2,2288027339,66584.75,24.26,4.14,1.19,2023-07-25
Nifty Microcap 250,14108.35,14203.25,14085.6,14109.85,64.9,.46,551315966,5023.08,27.31,2.56,.84,2023-07-25
Nifty Total Market,9458.95,9458.95,9411.7,9447.05,18.5,.2,2839343305,71607.83,24.62,4.38,1.24,2023-07-25
Nifty India Digital,6017.55,6021.75,5956.8,5972.65,-22.85,-.38,206002665,6233.64,110.2,8.49,1.41,2023-07-25
Nifty Mobility,-,-,-,12915.49,99.91,.78,197398406,7640.92,36.68,5.49,.91,2023-07-25
Nifty India Defence,-,-,-,2901.49,-10.29,-.35,24962141,1975.46,35.08,7.77,.84,2023-07-25
Nifty Financial Services Ex-Bank,-,-,-,19528.79,-3.82,-.02,83666816,4927.73,20.88,4.57,1.07,2023-07-25
Nifty Housing,-,-,-,8532.8,62.65,.74,562224867,22017.95,24.11,3.45,.93,2023-07-25
Nifty Transportation & Logistics,-,-,-,14802.36,120.87,.82,149807536,5589.58,36,6.18,.76,2023-07-25
Nifty MidSmall Financial Services,-,-,-,10249.72,-43.84,-.43,338227592,4658.21,13.18,1.89,1.55,2023-07-25
Nifty MidSmall Healthcare,-,-,-,25176.86,173.53,.69,25201640,1529.22,40.68,4.33,.68,2023-07-25
Nifty MidSmall IT & Telecom,-,-,-,7377.32,-43.13,-.58,111776859,1961.43,266.11,32.15,1.2,2023-07-25
Nifty MidSmall India Consumption,-,-,-,12538.81,135.48,1.09,49462640,3288.39,56.39,6.64,.6,2023-07-25
Nifty REITs & InvITs,-,-,-,993.32,-2.57,-.26,2300684,36.48,72.95,1.15,8.37,2023-07-25
Nifty Core Housing,-,-,-,11882.41,19.03,.16,34649644,4086.46,33.91,4.6,.51,2023-07-25
Nifty Consumer Durables,27004.65,27235.1,26990.45,27212.3,214.05,.79,6938565,882.19,60.53,10.68,.58,2023-07-25
Nifty Non-Cyclical Consumer,-,-,-,11888.26,-61.09,-.51,167898808,7465.23,61.35,11.35,.93,2023-07-25
NIFTY100 Alpha 30,-,-,-,11986.83,-65.05,-.54,206713261,17953.56,22.47,4.91,1.27,2023-07-25
NIFTY500 Value 50,-,-,-,8239.51,56.58,.69,545808122,7378,8.62,1.33,4.87,2023-07-25
Nifty100 Low Volatility 30,14956.7,14956.7,14837.25,14872.1,-33.7,-.23,182842543,19384.13,27.11,5.4,1.55,2023-07-25
NIFTY Alpha Low-Volatility 30,19581.55,19594.2,19449.65,19528.5,9.15,.05,167145363,12681.48,21.47,4.53,1.34,2023-07-25
NIFTY Quality Low-Volatility 30,-,-,-,13676.55,-22.23,-.16,112757416,12708.27,27.71,8.06,2.07,2023-07-25
NIFTY Alpha Quality Low-Volatility 30,-,-,-,15933.2,-21.32,-.13,92572166,7188.76,22.14,7.15,2.18,2023-07-25
NIFTY Alpha Quality Value Low-Volatility 30,-,-,-,13517.22,-22.04,-.16,144072002,13069.75,17.09,5.21,2.58,2023-07-25
NIFTY200 Quality 30,15955.7,15955.85,15797.45,15850.95,-65.35,-.41,82490644,7675.57,26.77,9.68,2.43,2023-07-25
NIFTY Midcap150 Quality 50,17875.6,17897.95,17781.95,17830.4,12.6,.07,18705623,2879.35,33.35,8,1.58,2023-07-25
Nifty200 Momentum 30,21787.65,21797.05,21539.5,21661.15,-28.45,-.13,218575033,8111.51,18.99,3.67,1.27,2023-07-25
Nifty India Manufacturing,9484.3,9523.4,9468.65,9513.55,60.25,.64,285966635,12582.06,28.63,4.57,1.43,2023-07-25
Nifty100 ESG Sector Leaders,3128.3,3128.4,3109.35,3121.95,2.7,.09,258250175,19349.74,27.88,5.4,1.19,2023-07-25
Nifty200 Alpha 30,-,-,-,15909.25,-27.26,-.17,288252798,9064.65,15.35,2.5,1.4,2023-07-25
Nifty Midcap150 Momentum 50,-,-,-,37748.71,134.62,.36,295922396,5746.26,18.87,3.39,1.02,2023-07-25
Nifty Smallcap250 Quality 50,-,-,-,18466.87,51.74,.28,88176316,3252.55,20.45,4.36,1.69,2023-07-25
NIFTY100 ESG,3680.05,3682.2,3664.55,3679.85,9.85,.27,506788557,33373.62,28.89,5.94,1.27,2023-07-25
NIFTY100 Enhanced ESG,-,-,-,3711.04,10.07,.27,467623108,31090.31,29.72,6.05,1.26,2023-07-25
NIFTY50 Equal Weight,22974.3,22979.95,22871.7,22947.35,47.05,.21,369653496,29665.67,21.94,4.42,1.59,2023-07-25
Nifty 50 Futures Index,-,-,-,5933.67,0.26,0,-,-,-,-,-,2023-07-25
Nifty 50 Arbitrage,-,-,-,2176.77,0.83,.04,-,-,-,-,-,2023-07-25
Nifty Aditya Birla Group,-,-,-,5889.88,104.24,1.8,99880909,1165.13,238.17,6.86,.48,2023-07-25
Nifty 8-13 yr G-Sec,2466.05,2466.05,2461.61,2461.68,-3.9,-.16,-,-,-,-,-,2023-07-25
Nifty 4-8 yr G-Sec Index,2668.35,2668.35,2664.49,2664.67,-3.17,-.12,-,-,-,-,-,2023-07-25
Nifty 11-15 yr G-Sec Index,2704.67,2704.67,2698.64,2698.64,-5.5,-.2,-,-,-,-,-,2023-07-25
Nifty 15 yr and above G-Sec Index,2954.41,2954.41,2944.36,2944.36,-9.47,-.32,-,-,-,-,-,2023-07-25
Nifty Composite G-sec Index,2541.13,2541.13,2536.52,2536.52,-4.12,-.16,-,-,-,-,-,2023-07-25
Nifty 10 yr Benchmark G-Sec,2186.66,2186.66,2182.23,2182.4,-3.84,-.18,-,-,-,-,-,2023-07-25
Nifty 10 yr Benchmark G-Sec (Clean Price),878.82,878.82,876.98,877.05,-1.77,-.2,-,-,-,-,-,2023-07-25
Nifty 1D Rate Index,-,-,-,2159.34,0.38,.02,-,-,-,-,-,2023-07-25
Nifty50 USD,-,-,-,8329.34,-0.44,-.01,-,-,-,-,-,2023-07-25
Nifty 50,19733.35,19825.6,19716.7,19778.3,97.7,.5,244747425,23023.86,23.97,4.83,1.27,2023-07-26
Nifty Next 50,44579.65,44622,44446.4,44568.25,160.7,.36,223708450,7548.78,29.12,4.62,1.5,2023-07-26
Nifty 100,19623.8,19706.35,19600.95,19662.0,95.1,.49,468455875,30572.64,24.76,4.85,1.28,2023-07-26
Nifty 200,10392.85,10434.35,10379.7,10411.55,49.65,.48,1632520101,43848.8,24.82,4.53,1.27,2023-07-26
Nifty 500,16950.7,17011,16931.6,16975.0,78.1,.46,2313612385,59928.8,24.84,4.5,1.23,2023-07-26
Nifty Midcap 50,10530.85,10585.8,10519.45,10562.15,58.7,.56,780206031,7551.85,24.3,2.99,1.29,2023-07-26
NIFTY Midcap 100,37017.1,37117.9,36940.95,37050.1,162.45,.44,1164064226,13276.16,25.24,3.2,1.2,2023-07-26
NIFTY Smallcap 100,11576.2,11607.55,11558.15,11578.95,20.05,.17,419332582,7990.65,20.63,3.52,1.19,2023-07-26
Nifty50 Dividend Points,-,-,-,98.52,0.0,-,-,-,-,-,-,2023-07-26
Nifty Auto,15820.85,15912.15,15734.85,15763.25,-2.35,-.01,60292010,4244.83,31.65,5.99,.94,2023-07-26
Nifty Bank,45935.15,46096.6,45804.7,46062.35,217.35,.47,298409899,7779.64,17.72,3.19,.75,2023-07-26
Nifty Energy,26203.7,26428.5,26140.7,26293.75,215.0,.82,86180887,4074.82,13.69,2.42,2.92,2023-07-26
Nifty Financial Services,20560.9,20627.3,20480.6,20540.8,10.7,.05,88047044,9057.24,20,4.17,.73,2023-07-26
Nifty FMCG,52533.15,52972.65,52381.6,52865.3,549.35,1.05,29726190,2240.14,45.55,12.8,1.78,2023-07-26
Nifty IT,29854.4,29988.9,29770.2,29800.4,39.25,.13,15984432,2428.84,24.83,8.09,2.67,2023-07-26
Nifty Media,2011.5,2036.9,2000.15,2029.15,18.65,.93,57657741,886.6,-,3.04,.73,2023-07-26
Nifty Metal,6610.4,6617.35,6580.35,6604.95,21.3,.32,81682312,2578.11,22.55,2.12,3.27,2023-07-26
Nifty MNC,22153.55,22233.65,22116.4,22188.4,93.15,.42,27531615,2152.46,39.42,8.13,2.44,2023-07-26
Nifty Pharma,14423.3,14505.45,14378.45,14478.35,95.1,.66,14203456,1364.82,31.61,4.95,.97,2023-07-26
Nifty PSU Bank,4525.8,4579.9,4515.5,4569.55,67.45,1.5,301274279,2770.3,8.07,1.15,2.01,2023-07-26
Nifty Realty,536.7,542.2,536.05,541.35,6.35,1.19,19964672,944.3,51.01,3.99,.26,2023-07-26
Nifty India Consumption,8408.5,8421.2,8379.55,8400.15,19.55,.23,82883310,5798.67,42.5,8.98,1.1,2023-07-26
Nifty Commodities,6256.05,6282.85,6239.8,6270.45,37.85,.61,159414400,7254.13,17.96,2.4,2.49,2023-07-26
Nifty Dividend Opportunities 50,4388.1,4401,4379.3,4393.65,23.75,.54,391287934,9388.94,17.67,3.16,3.46,2023-07-26
Nifty Infrastructure,5974,6037.6,5969.1,6012.3,64.2,1.08,156762015,8268.62,24.37,3.4,1.11,2023-07-26
Nifty PSE,5330.3,5334.2,5312.85,5320.85,15.55,.29,187808998,3090.69,9.99,1.71,4.33,2023-07-26
Nifty Services Sector,25418.6,25464.65,25339.45,25393.35,37.2,.15,143744419,13217.25,22.45,4.77,1.26,2023-07-26
Nifty50 Shariah,-,-,-,4032.37,9.81,.24,81279116,5814.37,24.87,5.38,2.39,2023-07-26
Nifty500 Shariah,-,-,-,5498.91,12.3,.22,380530734,19199.83,28.74,5.44,1.66,2023-07-26
Nifty Low Volatility 50,-,-,-,18133.35,92.64,.51,137792420,14725.91,29.27,5.37,1.41,2023-07-26
Nifty Alpha 50,33180.8,33418.85,33174.15,33371.3,301.25,.91,544476518,7832.13,16.94,2.63,1.28,2023-07-26
Nifty High Beta 50,-,-,-,2664.74,21.94,.83,711892149,16111.1,17.09,2.02,1.58,2023-07-26
Nifty100 Equal Weight,22774.15,22814.3,22716.35,22772.65,86.2,.38,468455875,30572.64,26.1,4.7,1.42,2023-07-26
Nifty100 Liquid 15,5201.3,5234.7,5190.25,5205.75,17.35,.33,110808491,10392.11,25.52,4.03,.93,2023-07-26
Nifty CPSE,3393.75,3398.1,3364.8,3376.4,-0.55,-.02,113073329,1484.14,8.56,1.87,5.56,2023-07-26
Nifty50 Value 20,10034.85,10069.7,10015.95,10056.9,64.45,.64,120920316,5552.9,20.23,4.28,3.03,2023-07-26
Nifty Midcap Liquid 15,8780.55,8794.1,8748.95,8762.1,-8.35,-.1,80773993,2685.2,26.75,3.4,.84,2023-07-26
Nifty Shariah 25,-,-,-,6540.61,8.55,.13,82338340,5795.51,23.6,6.08,2.34,2023-07-26
India VIX,10.2425,10.8625,10.2175,10.46,0.22,2.1,-,-,-,-,-,2023-07-26
Nifty Growth Sectors 15,9670.8,9707.5,9647.45,9691.85,51.85,.54,48497382,3894.42,33.07,8.91,2.08,2023-07-26
Nifty50 TR 1x Inverse,198.75,198.9,197.8,198.3,-0.95,-.48,-,-,-,-,-,2023-07-26
Nifty50 TR 2x Leverage,14319.4,14452.2,14295.3,14384.45,138.85,.97,-,-,-,-,-,2023-07-26
Nifty50 PR 1x Inverse,236.05,236.25,234.95,235.5,-1.15,-.49,-,-,-,-,-,2023-07-26
Nifty50 PR 2x Leverage,10129.65,10223.6,10112.6,10175.7,98.25,.97,-,-,-,-,-,2023-07-26
NIFTY100 Quality 30,4357.45,4363.2,4347.55,4352.3,7.6,.17,64437868,7800.17,27.86,9.06,2.05,2023-07-26
Nifty Mahindra Group,-,-,-,21066.18,-178.37,-.84,11698008,912.4,19.61,4.31,2.07,2023-07-26
NIFTY50 Equal Weight,23022.7,23078.2,22981.75,23021.8,74.45,.32,244747425,23023.86,22.51,4.43,1.58,2023-07-26
Nifty Tata Group,-,-,-,14104.81,8.31,.06,123549314,5893.6,39.32,8.27,2.18,2023-07-26
Nifty Tata Group 25% Cap,-,-,-,11692.76,-4.33,-.04,76699340,3560.72,51.99,5.42,1.5,2023-07-26
Nifty Private Bank,23510.35,23654.7,23454.95,23632.7,160.55,.68,154997909,6848.19,18.63,3.16,.54,2023-07-26
Nifty Smallcap 250,11173.85,11208.8,11163.35,11178.75,36.9,.33,613562137,13455.04,21.77,3.64,1.06,2023-07-26
Nifty Smallcap 50,5200.45,5226.4,5192.4,5221.7,34.35,.66,300461375,4444.12,20.37,3.58,1.7,2023-07-26
Nifty MidSmallcap 400,12918.65,12943.45,12900.4,12919.15,41.65,.32,1810999563,27900.51,25.01,3.64,1.08,2023-07-26
Nifty Midcap 150,13875.65,13898.65,13852.25,13873.3,44.15,.32,1197437426,14445.47,27.15,3.63,1.09,2023-07-26
Nifty Midcap Select,8447.6,8470.8,8433.9,8447.65,20.8,.25,270293392,4336.77,35.42,3.36,.81,2023-07-26
NIFTY LargeMidcap 250,11370.1,11403.25,11354.7,11380.1,45.55,.4,1665893301,45018.11,25.91,4.15,1.18,2023-07-26
NIFTY SME EMERGE,-,-,-,7993.22,73.67,.93,-,-,58.06,5.43,.1,2023-07-26
Nifty Oil & Gas,8088.15,8160.15,8071.7,8111.1,50.85,.63,74375616,3019.97,15.79,1.93,2.77,2023-07-26
Nifty Financial Services 25/50,20671.15,20747.85,20604.65,20660.4,17.4,.08,88047044,9057.24,17.64,3.89,.93,2023-07-26
Nifty Healthcare Index,9301.85,9330.5,9266.05,9316.3,37.8,.41,15815776,1623.64,36.14,5.59,.73,2023-07-26
Nifty500 Multicap 50:25:25,11305.85,11339.2,11294.2,11317.1,46.75,.41,2313612385,59928.8,24.46,4.16,1.17,2023-07-26
Nifty Microcap 250,14158.95,14230.05,14144.4,14162.95,53.1,.38,520030373,4669.2,28.25,2.57,.84,2023-07-26
Nifty Total Market,9477.25,9510.6,9467.2,9490.5,43.45,.46,2833642758,64597.99,24.93,4.4,1.22,2023-07-26
Nifty India Digital,5995.5,6021.3,5982.35,5995.55,22.9,.38,533260350,5406.91,108.01,8.53,1.4,2023-07-26
Nifty Mobility,-,-,-,12954.45,38.96,.3,217726730,9650.03,36.67,5.5,.91,2023-07-26
Nifty India Defence,-,-,-,2910.33,8.84,.3,22488788,1120.46,35.19,7.79,.84,2023-07-26
Nifty Financial Services Ex-Bank,-,-,-,19470.3,-58.49,-.3,82416616,6059.33,20.74,4.56,1.08,2023-07-26
Nifty Housing,-,-,-,8586.97,54.18,.63,550981618,15425.71,25.96,3.47,.92,2023-07-26
Nifty Transportation & Logistics,-,-,-,14837.95,35.59,.24,167170030,7331.86,36,6.2,.76,2023-07-26
Nifty MidSmall Financial Services,-,-,-,10371.49,121.77,1.19,487820234,6312.65,13.3,1.92,1.53,2023-07-26
Nifty MidSmall Healthcare,-,-,-,25147.01,-29.84,-.12,21624174,1127.14,40.63,4.33,.68,2023-07-26
Nifty MidSmall IT & Telecom,-,-,-,7418.66,41.33,.56,452802407,2162.53,267.6,32.33,1.19,2023-07-26
Nifty MidSmall India Consumption,-,-,-,12545.85,7.04,.06,49550989,2835.25,55.93,6.64,.6,2023-07-26
Nifty REITs & InvITs,-,-,-,987.69,-5.63,-.57,1934066,34.86,72.54,1.14,8.42,2023-07-26
Nifty Core Housing,-,-,-,11895.56,13.15,.11,41006491,3132.14,33.94,4.61,.51,2023-07-26
Nifty Consumer Durables,27298.45,27318.45,27093,27128.3,-84.0,-.31,10325950,1158.97,60.26,10.65,.58,2023-07-26
Nifty Non-Cyclical Consumer,-,-,-,11928.66,40.4,.34,138660837,5849.87,61.56,11.39,.93,2023-07-26
NIFTY100 Alpha 30,-,-,-,12090.94,104.11,.87,131593884,11086.13,22.45,4.95,1.26,2023-07-26
NIFTY500 Value 50,-,-,-,8300.69,61.18,.74,642491769,8770.73,8.83,1.34,4.52,2023-07-26
Nifty100 Low Volatility 30,14921.2,14959.1,14904.25,14948.9,76.8,.52,120843465,12485.54,27.25,5.42,1.54,2023-07-26
NIFTY Alpha Low-Volatility 30,19586.75,19683,19566.35,19664.85,136.35,.7,109789107,8677.28,21.62,4.56,1.35,2023-07-26
NIFTY Quality Low-Volatility 30,-,-,-,13703.59,27.04,.2,66145182,7553.53,27.7,8.07,2.05,2023-07-26
NIFTY Alpha Quality Low-Volatility 30,-,-,-,15987.71,54.51,.34,65118665,4604.33,22.22,7.18,2.18,2023-07-26
NIFTY Alpha Quality Value Low-Volatility 30,-,-,-,13555.34,38.12,.28,98543366,7790.36,17.12,5.23,2.58,2023-07-26
NIFTY200 Quality 30,15900.25,15922.6,15855.2,15871.25,20.3,.13,50535182,5269.23,26.73,9.69,2.42,2023-07-26
NIFTY Midcap150 Quality 50,17890.95,17894.1,17821,17842.95,12.55,.07,20753457,2504.17,33.34,8.01,1.59,2023-07-26
Nifty200 Momentum 30,21731.5,21833.3,21704.85,21797.15,136.0,.63,301858726,6384.07,19.07,3.69,1.29,2023-07-26
Nifty India Manufacturing,9540.7,9562,9532.55,9548.95,35.4,.37,196961954,11568.98,30.58,4.58,1.32,2023-07-26
Nifty100 ESG Sector Leaders,3133.3,3144.15,3128.95,3136.05,14.1,.45,160567931,15272.72,28.73,5.43,1.18,2023-07-26
Nifty200 Alpha 30,-,-,-,16090.24,180.99,1.14,378289575,7291.49,15.33,2.53,1.41,2023-07-26
Nifty Midcap150 Momentum 50,-,-,-,37864.79,116.07,.31,443523312,5809.41,18.89,3.4,1.05,2023-07-26
Nifty Smallcap250 Quality 50,-,-,-,18454.45,-12.42,-.07,64428336,2703.29,20.53,4.36,1.7,2023-07-26
NIFTY100 ESG,3693.35,3701.85,3684.95,3690.8,10.95,.3,390208249,26824.71,29.22,5.96,1.27,2023-07-26
NIFTY100 Enhanced ESG,-,-,-,3721.47,10.42,.28,351285923,24431.71,30.07,6.06,1.25,2023-07-26
Nifty 50 Futures Index,-,-,-,5957.08,23.42,.39,-,-,-,-,-,2023-07-26
Nifty 50 Arbitrage,-,-,-,2177.96,1.19,.05,-,-,-,-,-,2023-07-26
Nifty 50 Futures TR Index,-,-,-,21221.39,87.48,.41,-,-,-,-,-,2023-07-26
Nifty Aditya Birla Group,-,-,-,5930.79,40.91,.69,444181622,931.43,239.83,6.91,.48,2023-07-26
Nifty 8-13 yr G-Sec,2462.15,2463.42,2462.15,2463.42,1.74,.07,-,-,-,-,-,2023-07-26
Nifty 4-8 yr G-Sec Index,2665.18,2667.07,2665.18,2666.12,1.45,.05,-,-,-,-,-,2023-07-26
Nifty 11-15 yr G-Sec Index,2699.17,2701.19,2699.17,2700.66,2.02,.07,-,-,-,-,-,2023-07-26
Nifty 15 yr and above G-Sec Index,2944.94,2949.42,2944.94,2948.81,4.45,.15,-,-,-,-,-,2023-07-26
Nifty Composite G-sec Index,2537.01,2538.58,2537.01,2538.38,1.86,.07,-,-,-,-,-,2023-07-26
Nifty 10 yr Benchmark G-Sec,2182.82,2184.43,2182.82,2183.43,1.03,.05,-,-,-,-,-,2023-07-26
Nifty 10 yr Benchmark G-Sec (Clean Price),877.05,877.72,877.05,877.31,0.26,.03,-,-,-,-,-,2023-07-26
Nifty 1D Rate Index,-,-,-,2159.71,0.37,.02,-,-,-,-,-,2023-07-26
Nifty50 USD,-,-,-,8357.8,28.46,.34,-,-,-,-,-,2023-07-26
Nifty 50,19850.9,19867.55,19603.55,19659.9,-118.4,-.6,334891351,35019.13,23.83,4.8,1.28,2023-07-27
Nifty Next 50,44682.3,44824,44543.3,44696.45,128.2,.29,236625356,8160.72,29.2,4.63,1.51,2023-07-27
Nifty 100,19731.55,19752.45,19510.3,19566.7,-95.3,-.48,571516707,43179.85,24.64,4.83,1.29,2023-07-27
Nifty 200,10450.25,10460.6,10341.7,10372.15,-39.4,-.38,1570369863,57502.46,24.73,4.51,1.28,2023-07-27
Nifty 500,17038.35,17056.2,16873,16919.2,-55.8,-.33,2480262255,72603.45,24.76,4.48,1.23,2023-07-27
Nifty Midcap 50,10615.35,10656.45,10583.1,10624.5,62.35,.59,719703109,9458.86,24.45,3.01,1.28,2023-07-27
NIFTY Midcap 100,37227.4,37297,37025.4,37151.6,101.5,.27,998853156,14322.6,25.3,3.21,1.2,2023-07-27
NIFTY Smallcap 100,11614.4,11663.3,11558.15,11578.75,-0.2,0,694141610,9408.17,20.63,3.52,1.18,2023-07-27
Nifty50 Dividend Points,-,-,-,100.54,0.0,-,-,-,-,-,-,2023-07-27
Nifty Auto,15713.65,15713.9,15492.55,15572.0,-191.25,-1.21,47915102,4091.56,31.27,5.92,.95,2023-07-27
Nifty Bank,46285.85,46310.1,45570.65,45679.3,-383.05,-.83,320421936,14491.84,17.57,3.17,.76,2023-07-27
Nifty Energy,26388.85,26407.75,26029.75,26097.7,-196.05,-.75,83809393,3964.16,13.59,2.4,2.94,2023-07-27
Nifty Financial Services,20656.9,20666.6,20330.35,20381.1,-159.7,-.78,218251854,17508.86,19.85,4.14,.74,2023-07-27
Nifty FMCG,52934.35,53067.55,52270.95,52499.9,-365.4,-.69,35663742,3834.72,45.23,12.71,1.79,2023-07-27
Nifty IT,29826,29895,29670.5,29745.0,-55.4,-.19,36217924,4758.95,24.78,8.07,2.67,2023-07-27
Nifty Media,2042.25,2045.65,2018.5,2024.6,-4.55,-.22,42253965,767.96,-,3.03,.73,2023-07-27
Nifty Metal,6626.8,6674.6,6556.2,6581.55,-23.4,-.35,84859166,2194.75,22.47,2.11,3.29,2023-07-27
Nifty MNC,22219.4,22329.25,22122.65,22190.2,1.8,.01,30280946,3783.14,39.42,8.13,2.44,2023-07-27
Nifty Pharma,14658.7,15105.65,14601.05,14919.95,441.6,3.05,63186998,6082.86,32.58,5.1,.94,2023-07-27
Nifty PSU Bank,4587.65,4647.95,4575.75,4592.2,22.65,.5,222789873,3035.32,8.11,1.15,2,2023-07-27
Nifty Realty,543.35,554.05,542.7,552.85,11.5,2.12,19432176,871.2,52.1,4.08,.25,2023-07-27
Nifty India Consumption,8394.4,8416.9,8313.55,8347.0,-53.15,-.63,87700671,8601.88,42.23,8.92,1.11,2023-07-27
Nifty Commodities,6288.15,6303.25,6208.05,6230.3,-40.15,-.64,156998706,6812.07,17.84,2.38,2.52,2023-07-27
Nifty Dividend Opportunities 50,4399.75,4412.5,4369.5,4384.75,-8.9,-.2,412944845,13538.36,17.64,3.15,3.47,2023-07-27
Nifty Infrastructure,6032.45,6042.25,5983.15,6003.4,-8.9,-.15,143079892,7546.71,24.33,3.4,1.13,2023-07-27
Nifty PSE,5340.35,5353.95,5313.15,5329.35,8.5,.16,230706655,4232.23,10.01,1.71,4.32,2023-07-27
Nifty Services Sector,25508.55,25532.5,25182.15,25247.4,-145.95,-.57,204933538,21531.99,22.32,4.74,1.27,2023-07-27
Nifty50 Shariah,-,-,-,4027.7,-4.67,-.12,127411572,10957.21,24.84,5.38,2.39,2023-07-27
Nifty500 Shariah,-,-,-,5504.28,5.38,.1,420144594,25137.52,28.76,5.45,1.66,2023-07-27
Nifty Low Volatility 50,-,-,-,18192.13,58.78,.32,228569331,26623.29,29.36,5.39,1.42,2023-07-27
Nifty Alpha 50,33520.2,33624.15,33248.1,33330.65,-40.65,-.12,496166711,9633.82,16.92,2.63,1.28,2023-07-27
Nifty High Beta 50,-,-,-,2660.43,-4.31,-.16,902022599,15566.8,17.06,2.02,1.58,2023-07-27
Nifty100 Equal Weight,22837.05,22883,22680.5,22750.1,-22.55,-.1,571516707,43179.85,26.08,4.7,1.42,2023-07-27
Nifty100 Liquid 15,5228.25,5229.5,5152.6,5170.9,-34.85,-.67,132338511,12409.55,25.35,4,.94,2023-07-27
Nifty CPSE,3384.85,3387.75,3361.75,3370.15,-6.25,-.19,93933055,1333.39,8.55,1.87,5.57,2023-07-27
Nifty50 Value 20,10067.65,10093.15,9964.95,10003.3,-53.6,-.53,150847735,8301.38,20.12,4.26,3.03,2023-07-27
Nifty Midcap Liquid 15,8808.4,8829.45,8754.7,8791.45,29.35,.33,84600987,3282.07,26.84,3.41,.84,2023-07-27
Nifty Shariah 25,-,-,-,6539.41,-1.19,-.02,109103891,10549.16,23.59,6.08,2.32,2023-07-27
India VIX,10.4575,10.9825,9.8875,10.51,0.06,.53,-,-,-,-,-,2023-07-27
Nifty Growth Sectors 15,9707.45,9738.15,9639.15,9673.9,-17.95,-.19,78474739,8089.31,33.01,8.89,2.08,2023-07-27
Nifty50 TR 1x Inverse,197.55,200.05,197.4,199.5,1.2,.61,-,-,-,-,-,2023-07-27
Nifty50 TR 2x Leverage,14490.5,14514.65,14131.1,14212.65,-171.8,-1.19,-,-,-,-,-,2023-07-27
Nifty50 PR 1x Inverse,234.7,237.65,234.5,236.95,1.45,.62,-,-,-,-,-,2023-07-27
Nifty50 PR 2x Leverage,10248.6,10265.7,9994.4,10052.05,-123.65,-1.22,-,-,-,-,-,2023-07-27
NIFTY100 Quality 30,4357.25,4373.75,4330.5,4343.55,-8.75,-.2,108784869,15048.07,27.81,9.04,2.07,2023-07-27
Nifty 50 Futures Index,-,-,-,5930.32,-26.77,-.45,-,-,-,-,-,2023-07-27
NIFTY50 Equal Weight,23088.7,23127.95,22853.15,22926.0,-95.8,-.42,334891351,35019.13,22.42,4.41,1.57,2023-07-27
Nifty 50 Futures TR Index,-,-,-,21130.11,-91.27,-.43,-,-,-,-,-,2023-07-27
Nifty Mahindra Group,-,-,-,20098.53,-967.65,-4.59,35871786,3886.59,18.71,4.11,2.17,2023-07-27
Nifty Aditya Birla Group,-,-,-,5894.97,-35.81,-.6,362723083,982.98,238.38,6.87,.67,2023-07-27
Nifty Tata Group,-,-,-,14111.32,6.52,.05,91902613,3608.39,39.34,8.28,2.18,2023-07-27
Nifty Tata Group 25% Cap,-,-,-,11668.06,-24.7,-.21,69786852,2751.98,51.88,5.41,1.51,2023-07-27
Nifty Private Bank,23759.1,23778.25,23342.95,23389.65,-243.05,-1.03,252084435,13795.06,18.44,3.13,.55,2023-07-27
Nifty Smallcap 250,11225.15,11259.55,11177.75,11193.8,15.05,.13,868393509,13550.35,21.8,3.65,1.05,2023-07-27
Nifty Smallcap 50,5231.75,5271.1,5204.85,5217.2,-4.5,-.09,583450939,6199.99,20.35,3.58,1.7,2023-07-27
Nifty MidSmallcap 400,12974.7,13002.35,12911.5,12940.75,21.6,.17,1902333147,29153.63,25.06,3.64,1.07,2023-07-27
Nifty Midcap 150,13934.1,13957.35,13859.55,13898.9,25.6,.18,1033939638,15603.28,27.2,3.64,1.08,2023-07-27
