,S,K,T,LSTM_price
241,18816.7,18150.0,9.0,655.56
242,19355.9,19350.0,3.0,117.16
243,20937.7,21600.0,1.0,9.08
244,19711.45,19750.0,44.99999999999999,338.9
245,19993.2,20550.0,16.0,20.18
246,20133.3,19450.0,3.0,662.8
247,19542.65,21250.0,20.0,6.82
248,18972.1,18750.0,8.0,296.43
249,21456.65,21900.0,6.0,83.96
250,19443.55,18650.0,3.0,742.49
251,19672.35,20650.0,38.0,23.26
252,19395.3,20650.0,7.0,7.68
253,19783.4,20850.0,2.0,8.06
254,19811.35,20300.0,78.0,281.5
255,19528.75,19750.0,16.0,97.27
256,19765.2,18950.0,0.0,742.04
257,19783.4,18300.0,9.0,1450.86
258,19443.55,20550.0,3.0,7.96
259,19675.45,23000.0,225.0,62.49
260,19778.3,20850.0,8.0,8.08
261,18826.0,18500.0,13.0,377.28
262,21654.75,18000.0,365.0,4690.02
263,19742.35,19650.0,0.0,175.51
264,19528.75,21450.0,2.0,6.74
265,19425.35,19800.0,76.0,335.32
266,20926.35,22200.0,1.0,7.66
267,19901.4,21350.0,36.0,7.66
268,19265.8,18500.0,489.0,2583.57
269,20103.1,21450.0,77.0,60.26
270,19675.45,21000.0,22.0,7.66
271,19745.0,17000.0,69.0,2906.22
272,19281.75,19800.0,3.0,9.25
273,19542.65,21200.0,6.0,6.74
274,19411.75,19300.0,24.0,303.93
275,19396.45,20400.0,9.0,8.33
276,19638.3,23000.0,89.99999999999999,7.04
277,19393.6,18600.0,38.0,915.24
278,19811.85,20000.0,64.0,382.67
279,19716.45,20400.0,29.0,32.37
280,20103.1,21350.0,0.0,7.56
281,19384.3,17600.0,1.0,1819.65
282,19393.6,18700.0,38.0,823.62
283,21731.4,22850.0,13.0,8.33
284,21255.05,19800.0,35.0,1529.69
285,19365.25,18700.0,0.0,631.04
286,19497.3,18400.0,0.0,1050.2
287,21182.7,19150.0,7.0,1977.83
288,19545.75,22000.0,448.0,601.13
289,19574.9,20500.0,16.0,8.65
290,21778.7,23050.0,28.0,8.45
291,19140.9,19900.0,3.0,8.66
292,19653.5,15000.0,83.0,4756.66
293,19819.95,20100.0,20.0,99.7
294,18856.85,18750.0,22.0,294.39
295,19993.2,20050.0,44.0,316.47
296,18755.9,17850.0,1.0,883.4
297,19675.45,17800.0,15.0,1775.82
298,21654.75,22550.0,8.0,8.77
299,19306.05,20400.0,10.0,8.07
300,19393.6,21150.0,17.0,6.74
301,19653.5,19900.0,6.0,55.09
302,19753.8,18900.0,31.0,916.03
303,20192.35,19150.0,6.0,1014.11
304,19395.3,21100.0,21.0,6.91
305,19675.45,19250.0,1.0,349.38
306,19389.0,18300.0,9.0,1058.06
307,21182.7,21200.0,42.0,398.14
308,19624.7,19400.0,21.0,354.0
309,19396.45,20700.0,65.0,29.46
310,19395.3,20500.0,48.99999999999999,20.41
311,19381.65,20300.0,28.0,8.94
312,20937.7,21350.0,1.0,44.2
313,19611.05,19550.0,1.0,142.11
314,19331.8,19200.0,34.0,362.88
315,19133.25,18550.0,28.0,647.06
316,19381.65,19400.0,14.0,188.86
317,20969.4,19550.0,6.0,1379.27
318,19672.35,19200.0,38.0,654.06
319,19398.5,19500.0,29.0,223.8
320,19347.45,18100.0,29.0,1340.46
321,19331.8,20500.0,6.0,7.76
322,19802.0,18200.0,7.0,1597.0
323,20096.6,21100.0,56.99999999999999,81.56
324,19672.35,20600.0,38.0,34.57
325,19833.15,20700.0,29.0,9.13
326,19436.1,21050.0,85.0,22.98
327,19542.65,20600.0,27.0,8.59
328,19526.55,19400.0,1.0,166.32
329,19425.35,20800.0,20.0,7.7
330,18989.15,19700.0,56.99999999999999,130.4
331,19443.5,18050.0,1.0,1324.0
332,18817.4,20350.0,9.0,7.12
333,20192.35,20450.0,40.99999999999999,217.43
334,19731.8,18400.0,40.99999999999999,1448.72
335,19664.7,19950.0,16.0,83.98
336,20937.7,21600.0,50.0,182.42
337,19659.9,19500.0,7.0,221.74
338,19542.65,19100.0,40.99999999999999,659.81
339,18755.45,18150.0,3.0,596.63
340,21778.7,19800.0,0.0,1917.37
341,19819.95,19400.0,48.0,679.6
342,19733.55,18750.0,30.0,1045.85
343,19638.3,19950.0,20.0,78.77
344,19355.9,18600.0,3.0,709.06
345,19523.55,20000.0,63.00000000000001,215.51
346,21349.4,18000.0,6.0,3331.11
347,19783.4,21200.0,9.0,7.34
348,19765.2,19500.0,70.0,689.47
349,19574.9,16000.0,113.99999999999999,3849.38
350,19413.75,18900.0,77.0,892.27
351,19435.3,19000.0,55.00000000000001,673.2
352,18857.25,18600.0,28.0,457.68
353,21418.65,21150.0,3.0,322.43
354,19672.35,19550.0,10.0,226.79
355,19811.35,18900.0,1.0,861.16
356,19794.0,21700.0,48.99999999999999,6.96
357,19411.75,20000.0,416.0,1454.22
358,21418.65,21450.0,24.0,312.23
359,19465.0,20650.0,8.0,7.92
360,19671.1,18300.0,43.00000000000001,1476.99
361,19406.7,22000.0,142.0,7.59
362,19365.25,19300.0,0.0,145.95
363,19680.6,18700.0,2.0,932.17
364,19393.6,17700.0,10.0,1637.97
365,21255.05,19000.0,7.0,2191.78
366,19443.55,22000.0,227.0,211.61
367,20997.1,20100.0,10.0,931.83
368,19731.8,19400.0,13.0,399.11
369,19411.75,22000.0,143.0,7.59
370,20906.4,23000.0,198.0,313.2
371,21453.1,18950.0,9.0,2498.85
372,19811.5,20200.0,2.0,9.68
373,19794.0,20150.0,48.99999999999999,204.49
374,18989.15,21050.0,1.0,6.74
375,18972.1,17550.0,29.0,1469.24
376,19659.9,17200.0,7.0,2391.34
377,19794.0,19700.0,21.0,268.19
378,19322.55,20500.0,17.0,8.17
379,20855.1,21250.0,30.0,153.0
380,21349.4,19750.0,6.0,1592.52
381,18716.15,17400.0,2.0,1295.28
382,19079.6,19450.0,58.0,236.32
383,19694.0,19700.0,10.0,185.71
384,19778.3,20200.0,8.0,27.85
385,19675.45,20850.0,29.0,8.18
386,19435.3,20100.0,55.00000000000001,113.47
387,19398.5,19500.0,8.0,104.69
388,21456.65,20800.0,6.0,705.36
389,19381.65,19450.0,84.0,537.18
390,19727.05,19200.0,0.0,511.07
391,19543.1,21300.0,14.0,6.74
392,21255.05,20850.0,21.0,553.46
393,19638.3,19850.0,6.0,51.13
394,20855.1,20900.0,23.0,262.71
395,19672.35,19050.0,3.0,559.01
396,20937.7,21150.0,8.0,123.48
397,19079.6,18850.0,2.0,237.34
398,20096.6,21400.0,22.0,7.94
399,19574.9,18400.0,2.0,1152.0
400,19742.35,17750.0,0.0,1937.5
401,19443.5,18900.0,22.0,621.38
402,19597.3,17800.0,24.0,1789.95
403,19281.75,19500.0,38.0,215.4
404,19497.3,19200.0,0.0,305.4
405,19436.1,20600.0,1.0,7.75
406,19517.0,20450.0,27.0,8.75
407,20969.4,19950.0,20.0,1083.3
408,19528.75,20200.0,16.0,9.16
409,19819.95,19900.0,20.0,184.57
410,19570.85,20100.0,2.0,9.3
411,18826.0,19000.0,34.0,199.72
412,19811.5,18650.0,9.0,1115.28
413,21654.75,21350.0,1.0,418.13
414,20855.1,21750.0,51.00000000000001,117.07
415,19597.3,19300.0,80.0,758.08
416,19638.3,19700.0,89.99999999999999,502.35
417,19611.05,18700.0,22.0,972.82
418,18771.25,16450.0,35.0,2396.21
419,18816.7,16900.0,9.0,1899.5
420,19802.0,19300.0,35.0,693.09
421,19413.75,20200.0,21.0,9.1
422,19230.6,20650.0,34.0,7.91
423,19653.5,13000.0,83.0,6689.88
424,20937.7,19550.0,1.0,1383.43
425,18972.1,19900.0,8.0,8.56
426,19389.0,19250.0,58.0,518.7
427,19443.55,19200.0,17.0,358.73
428,19624.7,20500.0,28.0,9.01
429,19122.15,20250.0,29.0,8.48
430,19355.9,20150.0,10.0,8.83
431,21654.75,21250.0,8.0,544.13
432,20855.1,20400.0,16.0,539.79
433,19542.65,20450.0,20.0,8.81
434,19434.55,20000.0,500.0,1660.31
435,19778.3,16800.0,1.0,2903.52
436,19778.3,12000.0,64.0,7852.68
437,19819.95,20800.0,48.0,39.02
438,19265.8,15000.0,125.0,4549.33
439,19389.0,19500.0,16.0,141.12
440,18688.1,17100.0,7.0,1589.63
441,19253.8,20100.0,28.0,9.1
442,18972.1,19800.0,29.0,12.46
443,20103.1,19100.0,42.0,1172.7
444,19833.15,20650.0,15.0,8.93
445,19133.25,17700.0,0.0,1323.04
446,19436.1,19000.0,267.0,1618.4
447,19689.85,21250.0,2.0,6.74
448,19597.3,20600.0,3.0,8.19
449,19411.75,20650.0,24.0,8.13
450,19672.35,20200.0,66.0,238.95
451,20997.1,20150.0,3.0,851.03
452,19680.6,21150.0,2.0,6.99
453,21349.4,22700.0,13.0,7.78
454,19727.05,19500.0,48.99999999999999,529.33
455,19819.95,21200.0,48.0,8.32
456,19428.3,19300.0,13.0,253.85
457,19664.7,18000.0,2.0,1654.84
458,20926.35,15000.0,15.0,5929.2
459,19742.35,19000.0,0.0,704.89
460,18972.1,18000.0,547.0,2769.86
461,19386.7,17900.0,7.0,1470.23
462,19230.6,20000.0,6.0,8.86
463,20096.6,18400.0,1.0,1697.69
464,20926.35,22400.0,1.0,7.17
465,18755.45,19000.0,374.0,1447.35
466,19435.3,21050.0,6.0,6.74
