,Index,Open Index Value,High Index Value,Low Index Value,Close,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield,TIMESTAMP,rt,rt2,sigma2,sigma3,sigma5,sigma20,sigma60,sigma110
11246,Nifty 50,18655.9,18676.65,18555.4,18563.4,-71.15,-.38,221760885,20181.42,21.62,4.34,1.45,2023-06-09,-0.38,0.1444,1.2347469376351714,10.256373628139729,7.716219281487534,7.501965847626022,9.962562719110151,
11353,Nifty 50,18595.05,18633.6,18559.75,18601.5,38.1,.21,179463966,15386.04,21.66,4.35,1.44,2023-06-12,0.21,0.04409999999999999,6.622733574589831,5.9756505921949685,7.4938775010004,7.380877996552975,8.411539108242414,
11460,Nifty 50,18631.8,18728.9,18631.8,18716.15,114.65,.62,233167883,22612.62,21.79,4.37,1.43,2023-06-13,0.62,0.3844,4.602238585731876,7.9800000000000075,8.671172931039953,7.195654609773717,8.305922330645279,10.681144319312184
11567,Nifty 50,18744.6,18769.7,18690,18755.9,39.75,.21,261354575,19520.08,21.84,4.38,1.43,2023-06-14,0.21,0.04409999999999999,4.602238585731876,3.7577120698638096,7.323466392358197,6.722935214230216,8.218449501176599,10.659179675728625
11674,Nifty 50,18774.45,18794.1,18669.05,18688.1,-67.8,-.36,263004991,24820.77,21.76,4.37,1.39,2023-06-15,-0.36,0.1296,6.398234131383392,7.812989184684704,6.775086715312209,6.797567134450991,8.287938530463762,10.671486804823461
11781,Nifty 50,18723.3,18864.7,18710.5,18826.0,137.9,.74,272771256,28877.67,21.92,4.4,1.39,2023-06-16,0.74,0.5476,12.347469376353981,8.732903297300398,6.857897637031336,7.058638604388828,8.307500878570986,10.604245718392546
11888,Nifty 50,18873.3,18881.45,18719.15,18755.45,-70.55,-.37,219815214,22699.84,21.84,4.38,1.42,2023-06-19,-0.37,0.1369,12.4597190979572,10.12780331562576,8.330260500128432,7.105439576757177,8.20975409941622,10.611238551004398
11995,Nifty 50,18752.35,18839.7,18660.65,18816.7,61.25,.33,211649257,19687.08,21.91,4.4,1.4,2023-06-20,0.33,0.10890000000000001,7.857480512225238,8.91001683500094,7.557499586503462,7.141815558643618,8.14195643419143,10.554916174286044
12102,Nifty 50,18849.4,18875.9,18794.85,18856.85,40.15,.21,217481345,19102.48,21.96,4.41,1.4,2023-06-21,0.21,0.04409999999999999,1.3469966592383777,5.94252471597722,7.557499586503462,6.926894040811611,8.140008661970159,10.367380156501666
12209,Nifty 50,18853.6,18886.6,18759.5,18771.25,-85.6,-.45,252697871,24990.87,21.85,4.39,1.44,2023-06-22,-0.45,0.2025,7.408481625812364,6.667293303882779,7.92804137224321,7.248910843778702,8.143183881554782,10.266901633775953
12316,Nifty 50,18741.85,18756.4,18647.1,18665.5,-105.75,-.56,210562119,20619.6,21.73,4.36,1.45,2023-06-23,-0.56,0.31360000000000005,1.2347469376351807,6.610990848579366,6.472050679653243,6.905550170543589,8.051586137031258,10.304499681922728
12423,Nifty 50,18682.35,18722.05,18646.7,18691.2,25.7,.14,171271325,17355.14,21.76,4.37,1.45,2023-06-26,0.14,0.019600000000000003,7.857480512225242,5.975650592194972,6.481971922185409,6.66870554787137,8.05014487710457,10.299147795056653
12530,Nifty 50,18748.55,18829.25,18714.25,18817.4,126.2,.68,222464605,21415.89,21.9,4.4,1.44,2023-06-27,0.68,0.4624000000000001,6.061484966573732,9.869468070772616,8.102688442733067,7.043830671326195,8.083072079184262,10.31605024111203
12637,Nifty 50,18908.15,19011.25,18861.35,18972.1,154.7,.82,398782019,37356.94,22.08,4.43,1.43,2023-06-28,0.82,0.6723999999999999,1.571496102444836,5.700105262185963,10.012020775048361,7.194110749334073,8.102478465761923,10.367607614088204
12744,Nifty 50,19076.85,19201.7,19024.6,19189.05,216.95,1.14,247906587,26376.62,22.36,4.5,1.41,2023-06-30,1.14,1.2995999999999999,3.591991091302885,3.743153750515748,10.595327271962862,7.905319528147176,7.783280450829923,10.421399956221792
12851,Nifty 50,19246.5,19345.1,19234.4,19322.55,133.5,.7,226050219,22681.54,22.51,4.53,1.4,2023-07-03,0.7,0.48999999999999994,4.938987750541532,3.6106509108469784,5.734192183734339,8.110468089548148,7.858384165648515,10.432236450755436
12958,Nifty 50,19406.6,19434.15,19300,19389.0,66.45,.34,226916635,26634.06,22.59,4.54,1.38,2023-07-04,0.34,0.11560000000000002,4.0409899777157765,6.360377347296315,4.570094090935108,8.114342856941642,7.717002491746856,10.426024985462957
13065,Nifty 50,19405.95,19421.6,19339.6,19398.5,9.5,.05,224418797,24699.24,22.6,4.55,1.38,2023-07-05,0.05,0.0025000000000000005,3.255241926493237,5.1691778843448715,6.733112207590188,8.108701758637208,7.719254354962675,10.398533493511462
13172,Nifty 50,19385.7,19512.2,19373,19497.3,98.8,.51,268261285,28540.18,22.72,4.57,1.37,2023-07-06,0.51,0.2601,5.16348719374798,3.6923163461437216,6.4788610110111176,8.000578729067032,7.751346826656558,10.399522924837472
13279,Nifty 50,19422.8,19523.6,19303.6,19331.8,-165.5,-.85,237102566,23089.25,22.52,4.53,1.39,2023-07-07,-0.85,0.7224999999999999,15.265962138037663,10.981366035243527,9.650212432894937,8.50143102505008,7.98423393478822,10.490046491611151
13386,Nifty 50,19400.35,19435.85,19327.1,19355.9,24.1,.12,268246132,25991.55,22.55,4.54,1.38,2023-07-10,0.12,0.0144,10.888222995512143,11.117067958774028,8.359854065711914,8.240797930195573,7.948530276681475,10.30006811155079
13493,Nifty 50,19427.1,19515.1,19406.45,19439.4,83.5,.43,251263638,26883.78,22.65,4.56,1.38,2023-07-11,0.43,0.18489999999999998,3.47974136969967,10.600320749864135,8.588680923168589,8.277187737517199,7.969725767776415,9.991402128684484
13600,Nifty 50,19497.45,19507.7,19361.75,19384.3,-55.1,-.28,327941559,40163.14,22.58,4.54,1.38,2023-07-12,-0.28,0.07840000000000001,7.9697302338284555,5.6505220997709715,8.907140955435704,8.32033937819972,7.8335082081694205,10.003151701837522
13707,Nifty 50,19495.2,19567,19385.8,19413.75,29.45,.15,310442517,27244.56,23.81,4.74,1.32,2023-07-13,0.15,0.0225,4.826738028938321,5.6772176283810145,7.880378163514747,8.319956793916145,7.78602744599777,10.003728224116495
13814,Nifty 50,19493.45,19595.35,19433.5,19564.5,150.75,.78,291165841,25484.44,23.96,4.78,1.3,2023-07-14,0.78,0.6084,7.071732461002702,8.4632617825517,6.252823362290034,8.332668303288653,7.844766710729056,10.04596265362517
13921,Nifty 50,19612.15,19731.85,19562.95,19711.45,146.95,.75,268707894,25975.57,24.14,4.82,1.29,2023-07-17,0.75,0.5625,0.3367491648085879,5.641595518999938,7.041019812498758,8.34083373341184,7.925498091602827,10.093922932478018
14028,Nifty 50,19787.5,19819.45,19690.2,19749.25,37.8,.19,286353897,33269.08,24.18,4.83,1.28,2023-07-18,0.19,0.0361,6.285984409780167,5.275338851675803,7.109405038398083,8.036063451060695,7.91570485742303,9.902770982286032
14135,Nifty 50,19802.95,19851.7,19727.45,19833.15,83.9,.42,259660464,26447.9,24.09,4.85,1.27,2023-07-19,0.42,0.17639999999999997,2.5817435968738884,4.468422540449837,4.742999051233306,8.052794023129314,7.865037653319637,9.875005190188771
14242,Nifty 50,19831.7,19991.85,19758.4,19979.15,146.0,.74,274698867,30622.66,24.24,4.88,1.28,2023-07-20,0.74,0.5476,3.591991091302886,4.38492873374245,4.140478233247946,8.223175721542637,7.945448841200582,9.90988054975565
14349,Nifty 50,19800.45,19887.4,19700,19745.0,-234.15,-1.17,312461795,33802.14,23.95,4.82,1.27,2023-07-21,-1.17,1.3688999999999998,21.439696826214668,16.2388792716739,12.596299456586449,9.397062250904176,8.424026655035336,10.028399619702222
14456,Nifty 50,19748.45,19782.75,19658.3,19672.35,-72.65,-.37,265562151,24522.29,23.83,4.81,1.28,2023-07-24,-0.37,0.1369,8.979977728257424,15.22656888468312,11.928823915206397,9.200654267353396,8.45550307216489,10.051709779497351
14563,Nifty 50,19729.35,19729.35,19615.95,19680.6,8.25,.04,369653496,29665.67,23.55,4.81,1.28,2023-07-25,0.04,0.0016,4.60223858573187,9.768950813674932,11.794983679513935,9.225415523376018,8.338170754153682,10.042188883138834
14670,Nifty 50,19733.35,19825.6,19716.7,19778.3,97.7,.5,244747425,23023.86,23.97,4.83,1.27,2023-07-26,0.5,0.25,5.1634871937479625,6.909211242971236,12.015125467509694,9.13831246657948,8.345025190119491,10.025006784745592
14777,Nifty 50,19850.9,19867.55,19603.55,19659.9,-118.4,-.6,334891351,35019.13,23.83,4.8,1.28,2023-07-27,-0.6,0.36,12.347469376353976,8.76985746748487,10.056848412897557,9.352209814854053,8.431046017497033,10.0039458820512
14884,Nifty 50,19659.75,19695.9,19563.1,19646.05,-13.85,-.07,258671382,22995.98,22.91,4.8,1.29,2023-07-28,-0.07,0.004900000000000001,5.949235244970508,8.732903297300396,6.656891166302787,8.665014228433051,8.283175330712377,9.987344799634634
14991,Nifty 50,19666.35,19772.75,19597.6,19753.8,107.75,.55,295053318,23075.38,23.01,4.83,1.28,2023-07-31,0.55,0.30250000000000005,6.959482739399476,9.137154918244526,7.461525313231878,8.54717515661722,7.97584369906184,10.013385390190328
15098,Nifty 50,19784,19795.6,19704.6,19733.55,-20.25,-.1,298048161,24554.71,22.96,4.82,1.28,2023-08-01,-0.1,0.010000000000000002,7.296231904209134,5.824740337560133,7.578809932964415,8.533850676477815,7.752063126153221,9.97707681729382
15205,Nifty 50,19655.4,19678.25,19423.55,19526.55,-207.0,-1.05,290666798,23997.47,22.72,4.73,1.33,2023-08-02,-1.05,1.1025,10.663723552305703,12.773801313626267,9.581814024494532,9.445907885929945,8.118451050392997,10.076781804869672
15312,Nifty 50,19463.75,19537.65,19296.45,19381.65,-144.9,-.74,315688612,29899.38,22.55,4.69,1.35,2023-08-03,-0.74,0.5476,3.4797413696996675,7.690539642963951,9.944970588191808,9.651222556863205,8.297106683780433,10.14882094328116
15419,Nifty 50,19462.8,19538.85,19436.45,19517.0,135.35,.7,280799561,28086.15,22.71,4.72,1.34,2023-08-04,0.7,0.48999999999999994,16.1639599108634,14.824048030143459,12.220999959086821,9.466806108436819,8.377775259881634,9.894379434152965
15526,Nifty 50,19576.85,19620.45,19524.8,19597.3,80.3,.41,216586074,21655.87,22.83,4.74,1.34,2023-08-07,0.41,0.16809999999999997,3.255241926493194,12.090012406941533,11.763535182928647,9.551042268833935,8.400279656361732,9.892416490424202
15633,Nifty 50,19627.2,19634.4,19533.1,19570.85,-26.45,-.13,260294052,25437.47,22.73,4.73,1.31,2023-08-08,-0.13,0.016900000000000002,6.061484966573715,6.6867929532773935,11.75646375403761,9.472958077435049,8.383789018402407,9.883561726101648
15740,Nifty 50,19578.8,19645.5,19467.5,19632.55,61.7,.32,266495074,23201.75,22.81,4.75,1.37,2023-08-09,0.32,0.1024,5.051237472144737,4.592646295982328,8.917602816900967,9.446880186768421,8.260685406782573,9.857515483609008
15847,Nifty 50,19605.55,19623.6,19495.4,19543.1,-89.45,-.46,312193785,29430.34,22.77,4.73,1.36,2023-08-10,-0.46,0.2116,8.755478285050977,6.2154324065184845,7.3086551430478695,9.621475814141254,8.2243997256613,9.85060762383717
15954,Nifty 50,19554.25,19557.75,19412.75,19428.3,-114.8,-.59,235524048,24521.24,22.63,4.7,1.38,2023-08-11,-0.59,0.34809999999999997,1.4592463808415603,7.812989184684702,7.1285201830394005,9.442765651963125,8.31325720904441,9.83963296473674
16061,Nifty 50,19383.95,19465.85,19257.9,19434.55,6.25,.03,243850815,22767.43,22.64,4.7,1.39,2023-08-14,0.03,0.0009,6.959482739399473,5.190260109088957,5.844104721854332,8.985721304849207,8.292568942192581,9.757970686910546
16168,Nifty 50,19369,19482.75,19317.2,19465.0,30.45,.16,226627230,21484.66,22.52,4.68,1.39,2023-08-16,0.16,0.0256,1.4592463808415483,6.362358053426428,6.301399844479009,8.974877040647225,8.227940801349298,9.496085955472816
16275,Nifty 50,19450.55,19461.55,19326.25,19365.25,-99.75,-.51,268663456,26505.65,22.39,4.66,1.39,2023-08-17,-0.51,0.2601,7.520731347415568,5.6401063819754444,5.446830270900692,8.907624882797403,8.321521536231588,9.496033721877737
16382,Nifty 50,19301.75,19373.8,19253.6,19310.15,-55.1,-.28,256142364,25641.41,22.32,4.64,1.36,2023-08-18,-0.28,0.07840000000000001,2.5817435968738613,5.404331596044059,5.204079169267134,8.322686307222023,8.309116822676247,9.507685321191781
16489,Nifty 50,19320.65,19425.95,19296.3,19393.6,83.45,.43,262589133,20738.75,22.42,4.66,1.37,2023-08-21,0.43,0.18489999999999998,7.969730233828444,7.778508854529905,5.854874891916999,7.680893040183331,8.335096290355114,9.399288286012382
16596,Nifty 50,19417.1,19443.5,19381.3,19396.45,2.85,.01,208704354,20226.48,22.13,4.55,1.37,2023-08-22,0.01,0.0001,4.714488307335076,5.6668509773947795,5.842810967334137,7.6140001244245274,8.135354419164772,9.253654025700122
16703,Nifty 50,19439.2,19472.05,19366.6,19444.0,47.55,.25,225214991,20167.16,22.19,4.56,1.37,2023-08-23,0.25,0.0625,2.69399331847708,3.3449663675439534,6.06564093892806,7.689983437118559,8.08700954555085,8.388465475134465
