,Index,Open Index Value,High Index Value,Low Index Value,Close,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield,TIMESTAMP,rt,rt2,sigma2,sigma3,sigma5,sigma20,sigma60,sigma110
4160,Nifty 50,17383.25,17440.45,17255.2,17303.95,-88.75,-.51,420881259,32959.77,20.39,4.05,1.44,2023-02-28,-0.51,0.2601,1.0102474944289392,2.0100746254803354,8.48699946977729,10.047615742317333,,
4264,Nifty 50,17360.1,17467.75,17345.25,17450.9,146.95,.85,272881409,19784.53,20.56,4.09,1.43,2023-03-01,0.85,0.7224999999999999,15.265962138037679,12.073325970916216,8.765114945053487,10.574125719738822,,
4368,Nifty 50,17421.5,17445.8,17306,17321.9,-129.0,-.74,310669094,22068.68,20.41,4.06,1.44,2023-03-02,-0.74,0.5476,17.8477057349117,13.641304922917014,9.85281482623113,10.856447659776823,,
4472,Nifty 50,17451.25,17644.75,17427.7,17594.35,272.45,1.57,356169518,24143.96,20.73,4.12,1.41,2023-03-03,1.57,2.4649,25.929685690343412,18.76350713486154,15.991153804525803,11.210855265744609,,
4576,Nifty 50,17680.35,17799.95,17671.95,17711.45,117.1,.67,362801096,26959.41,20.87,4.15,1.41,2023-03-06,0.67,0.4489000000000001,10.102474944289616,18.483408776521717,15.404981012646527,11.386311865337994,,
4680,Nifty 50,17665.75,17766.5,17602.25,17754.4,42.95,.24,267041402,23155.56,20.92,4.16,1.4,2023-03-08,0.24,0.0576,4.826738028938331,10.774024317774678,13.516376733429711,11.387150514597813,,
4784,Nifty 50,17772.05,17772.35,17573.6,17589.6,-164.8,-.93,262352056,21964.17,20.73,4.12,1.41,2023-03-09,-0.93,0.8649000000000001,13.133217427576515,13.144565416931819,16.368226538021766,11.399583233379053,,
4888,Nifty 50,17443.8,17451.5,17324.35,17412.9,-176.7,-1,235927570,19794.73,20.52,4.08,1.43,2023-03-10,-1.0,1.0,0.7857480512221342,11.05797449807151,17.345760288900575,11.826183127637632,,
4992,Nifty 50,17421.9,17529.9,17113.45,17154.3,-435.3,-2.47,254914657,22860.67,20.21,4.02,1.45,2023-03-13,-2.47,6.100900000000001,16.500709075673065,13.804738316969276,19.500913824741655,14.447856333435038,,
5096,Nifty 50,17160.55,17224.65,16987.1,17043.3,-111.0,-.65,290604200,26057.6,20.08,3.99,1.46,2023-03-14,-0.65,0.42250000000000004,20.429449331785708,15.33047944455749,15.510539642449588,14.496659796765526,,
5200,Nifty 50,17166.45,17211.35,16938.9,16972.15,-71.15,-.42,248188970,22659.09,20,3.97,1.47,2023-03-15,-0.42,0.17639999999999997,2.58174359687389,17.828280904226293,12.750402346592839,13.854714303119087,,
5304,Nifty 50,16994.65,17062.45,16850.15,16985.6,13.45,.08,349820607,24198.71,20.01,3.98,1.47,2023-03-16,0.08,0.0064,5.612486080160854,5.924829111459666,15.325026590515273,13.618545134446165,,
5409,Nifty 50,17111.8,17145.8,16958.15,17100.05,114.45,.67,408121255,30478.42,20.15,4,1.46,2023-03-17,0.67,0.4489000000000001,6.62273357458983,8.661431752314398,18.780086261782724,14.004393784207792,,
5514,Nifty 50,17066.6,17066.6,16828.35,16988.4,-111.65,-.65,241777405,21454.09,20.02,3.98,1.47,2023-03-20,-0.65,0.42250000000000004,14.816963251624788,10.49679951223229,9.009814648481958,14.039221638343284,,
5619,Nifty 50,17060.4,17127.7,17016,17107.5,119.1,.7,246737873,22039.11,20.16,4.01,1.46,2023-03-21,0.7,0.48999999999999994,15.153712416434443,12.237793918840113,9.770627410765393,14.460244046859541,,
5724,Nifty 50,17177.45,17207.25,17107.85,17151.9,44.4,.26,185700457,15712,20.21,4.02,1.45,2023-03-22,0.26,0.06760000000000001,4.9389877505415365,10.929611155022855,8.733432314960712,14.568310128494653,,
5829,Nifty 50,17097.4,17205.4,17045.3,17076.9,-75.0,-.44,219171517,19676.97,20.12,4,1.46,2023-03-23,-0.44,0.1936,7.857480512225236,9.126576576131928,9.927217132711466,13.78015277586993,,
5934,Nifty 50,17076.2,17109.45,16917.35,16945.05,-131.85,-.77,228038299,19019.88,19.97,3.97,1.47,2023-03-24,-0.77,0.5929,3.7042408129061166,8.349347279877627,10.05434234547442,13.935431102050625,,
6039,Nifty 50,16984.3,17091,16918.55,16985.7,40.65,.24,218418670,18466.56,20.01,3.98,1.47,2023-03-27,0.24,0.0576,11.337221881925014,8.175499984710411,9.397118707348548,14.024847423881582,,
6144,Nifty 50,17031.75,17061.75,16913.75,16951.7,-34.0,-.2,238840919,20942.5,19.97,3.97,1.47,2023-03-28,-0.2,0.04000000000000001,4.938987750541537,8.03873124317513,7.037260830749423,13.997878786670347,11.930028414304036,
6249,Nifty 50,16977.3,17126.15,16940.6,17080.7,129.0,.76,345911087,27261.74,20.13,4,1.46,2023-03-29,0.76,0.5776,10.775973273908923,7.628577849114477,9.485201104879119,14.3170363369548,11.997599759951987,
6354,Nifty 50,17210.35,17381.6,17204.65,17359.75,279.05,1.63,263889033,24970.98,20.44,4.05,1.44,2023-03-31,1.63,2.6569,9.765725779479956,14.531028869285208,14.579246894130026,15.249174093252254,12.508590458330518,
6459,Nifty 50,17427.95,17428.05,17312.75,17398.05,38.3,.22,230170687,20359.58,20.48,4.06,1.43,2023-04-03,0.22,0.0484,15.827210746053751,11.29323691418896,11.157419056394716,15.071542965749094,12.368189651450098,
6564,Nifty 50,17422.3,17570.55,17402.7,17557.05,159.0,.91,248345193,23911.75,20.67,4.1,1.41,2023-04-05,0.91,0.8281000000000001,7.745230790622015,11.192372402667818,11.073877369738206,14.308195847871685,12.523411012572833,
6669,Nifty 50,17533.85,17638.7,17502.85,17599.15,42.1,0.24,242708337,23543.21,20.72,4.12,1.41,2023-06-04,0.24,0.0576,7.520731347415577,6.234324341899458,9.19173759416575,14.098089008238329,12.45537649887845,
6775,Nifty 50,17634.9,17694.1,17597.95,17624.05,24.9,0.14,254819382,21092.06,20.75,4.13,1.41,2023-10-04,0.14,0.019600000000000003,1.1224972160318631,6.646472748759307,10.160553134549318,14.072523732810906,12.121479520368455,
6881,Nifty 50,17704.8,17748.75,17655.15,17722.3,98.25,0.56,304263454,25841.64,20.86,4.15,1.4,2023-11-04,0.56,0.31360000000000005,4.714488307335092,3.4827575281664496,5.08430526227527,13.877020649450047,12.01498238429484,
6987,Nifty 50,17759.55,17825.75,17717.25,17812.4,90.1,0.51,232816318,22851.93,20.97,4.17,1.39,2023-12-04,0.51,0.2601,0.5612486080154698,3.6419225691933783,4.795835693599187,13.476896722285801,12.065276187950504,
7093,Nifty 50,17807.3,17842.15,17729.65,17828.0,15.6,.09,285764798,26460.2,20.99,4.17,1.4,2023-04-13,0.09,0.0081,4.71448830733509,4.097755483188339,3.4109881266284123,9.591090602604499,12.061009655012514,
7199,Nifty 50,17863,17863,17574.05,17706.85,-121.15,-.68,357401212,35118.57,20.82,4.14,1.41,2023-04-17,-0.68,0.4624000000000001,8.64322856344776,9.580542782118354,7.8851734286571045,9.62663000551895,12.077296686520427,
7305,Nifty 50,17766.6,17766.6,17610.2,17660.15,-46.7,-.26,258856690,23032.99,20.65,4.13,1.41,2023-04-18,-0.26,0.06760000000000001,4.714488307335082,6.120098038430431,8.332680241074899,9.507627796447931,12.06985822729988,
7411,Nifty 50,17653.35,17666.15,17579.85,17618.75,-41.4,-.23,281463379,21562.08,20.6,4.12,1.42,2023-04-19,-0.23,0.0529,0.33674916480849393,3.993945417754228,7.037439875409241,9.622719825605708,11.919970978806667,
7517,Nifty 50,17638.6,17684.45,17584.35,17624.45,5.7,.03,215103396,19457.45,20.61,4.13,1.42,2023-04-20,0.03,0.0009,2.918492761683543,2.5316397848035237,4.837168593299187,9.461708536044243,11.838280624127526,
7623,Nifty 50,17639.75,17663.2,17553.95,17624.05,-0.4,0,230156645,19091.44,20.61,4.13,1.42,2023-04-21,0.0,0.0,0.33674916480852835,2.258052258031254,4.517127405774608,9.00011210456496,11.826999218249512,
7729,Nifty 50,17707.55,17754.5,17612.5,17743.4,119.35,.68,255740393,23142.94,20.74,4.15,1.41,2023-04-24,0.68,0.4624000000000001,7.632981069018793,6.099475387277179,6.014113400992704,8.985215751737018,11.895695333086971,
7835,Nifty 50,17761.55,17807.45,17716.85,17769.25,25.85,.15,297445999,28819.53,20.56,4.16,1.41,2023-04-25,0.15,0.0225,5.949235244970507,5.671296148148155,5.379327095464639,8.981439809553446,11.84924340000417,
7941,Nifty 50,17767.3,17827.75,17711.2,17813.6,44.35,.25,233008677,21295.14,20.59,4.17,1.4,2023-04-26,0.25,0.0625,1.1224972160318565,4.470302003220824,4.361013643638371,8.679600585037848,11.864530589184511,
8047,Nifty 50,17813.1,17931.6,17797.9,17915.05,101.45,.57,241434660,24454.15,20.7,4.19,1.39,2023-04-27,0.57,0.32489999999999997,3.591991091302883,3.482757528166453,4.544381145986768,7.937333305336237,11.657984882706948,
8153,Nifty 50,17950.4,18089.15,17885.3,18065.0,149.95,.84,290263674,27026.12,20.87,4.23,1.38,2023-04-28,0.84,0.7055999999999999,3.0307424832867773,4.688581875151605,4.613723008590784,8.178793953041955,11.29963909728154,
8259,Nifty 50,18124.8,18180.25,18101.75,18147.65,82.65,.46,265216308,23615.47,20.92,4.25,1.38,2023-05-02,0.46,0.2116,4.2654894209222105,3.1039974226793654,4.322124477615145,7.965156555107268,11.325387949354752,
8365,Nifty 50,18113.8,18116.35,18042.4,18089.85,-57.8,-.32,226171254,19079.79,21.33,4.23,1.38,2023-05-03,-0.32,0.1024,8.75547828505098,9.387907115007057,6.914983731000385,8.136847766730506,11.347979301941303,
8471,Nifty 50,18081,18267.45,18066.7,18255.8,165.95,.92,226643581,21889.48,21.85,4.27,1.37,2023-05-04,0.92,0.8464,13.918965478799038,9.95083916059345,7.8201892560218775,6.8784735148677205,11.478104122079055,
8577,Nifty 50,18117.3,18216.95,18055.45,18069.0,-186.8,-1.02,239702311,26152.88,21.62,4.23,1.38,2023-05-05,-1.02,1.0404,21.776445991024325,15.595845600671996,13.166083700174477,8.234409958729339,11.683277575888294,
8683,Nifty 50,18120.6,18286.95,18100.3,18264.4,195.4,1.08,228399379,22687.94,21.77,4.28,1.37,2023-05-08,1.08,1.1664,23.572441536675818,18.557111844249906,14.0117150984453,8.450292863190251,11.55049336388505,
8789,Nifty 50,18303.4,18344.2,18229.65,18265.95,1.55,.01,245368649,23478.06,21.77,4.28,1.37,2023-05-09,0.01,0.0001,12.01072021154433,16.669241134496797,13.897948049982057,8.475434967878446,11.498908879703713,
8895,Nifty 50,18313.6,18326.75,18211.95,18315.1,49.15,.27,220450874,21416.41,21.88,4.29,1.36,2023-05-10,0.27,0.0729,2.91849276168356,8.8589615644273,13.302136670475162,8.478028383012042,11.494851080198137,
9001,Nifty 50,18357.8,18389.7,18270.4,18297.0,-18.1,-.1,248932544,26440.1,21.86,4.28,1.36,2023-05-11,-0.1,0.010000000000000002,4.153239699318992,3.016156494613648,11.980469106007495,8.42520560423804,11.373396836179612,
9107,Nifty 50,18273.75,18342.75,18194.55,18314.8,17.8,.1,241702589,22046.04,21.82,4.29,1.28,2023-05-12,0.1,0.010000000000000002,2.244994432064209,2.9400000000000164,7.485802562183966,8.326032226191465,11.372755893369451,
9213,Nifty 50,18339.3,18458.9,18287.9,18398.85,84.05,.46,216088535,19329.75,21.92,4.31,1.27,2023-05-15,0.46,0.2116,4.040989977715777,4.50493063209636,3.505715333566035,8.398653839502455,11.39661448391211,
9320,Nifty 50,18432.35,18432.35,18264.35,18286.5,-112.35,-.61,219490491,21063.78,21.59,4.28,1.48,2023-05-16,-0.61,0.3721,12.010720211544323,8.642985595267417,6.5149336143970045,8.308937990279844,11.424817455797932,
9427,Nifty 50,18300.45,18309,18115.35,18181.75,-104.75,-.57,229898510,20903.12,21.47,4.26,1.49,2023-05-17,-0.57,0.32489999999999997,0.44899888641200414,9.628644764451538,7.209019350785517,8.586962761866623,11.348877567138452,
9534,Nifty 50,18287.5,18297.2,18104.85,18129.95,-51.8,-.28,272103515,24172.44,21.39,4.24,1.5,2023-05-18,-0.28,0.07840000000000001,3.25524192649321,2.8588808999326916,7.252930442241952,8.617971919193046,11.321051023256917,
9641,Nifty 50,18186.15,18218.1,18060.4,18203.4,73.45,.41,260898407,22105.67,21.48,4.26,1.5,2023-05-19,0.41,0.16809999999999997,7.745230790622012,7.991570559032814,8.269536867322138,8.655610896984676,11.350553469668194,
9748,Nifty 50,18201.1,18335.25,18178.85,18314.4,111.0,.61,262560942,25147.58,21.36,4.29,1.49,2023-05-22,0.61,0.3721,2.2449944320642032,7.412448988020095,8.969026703048666,8.771441518689466,11.367048407195488,
9855,Nifty 50,18362.9,18419.75,18324.2,18348.0,33.6,.18,270354216,28648.15,21.41,4.29,1.49,2023-05-23,0.18,0.0324,4.826738028938308,3.4157868785976913,7.741976491826878,8.582667785472612,11.306735580684881,
9962,Nifty 50,18294.8,18392.6,18262.95,18285.4,-62.6,-.34,232621507,24273.17,21.24,4.28,1.49,2023-05-24,-0.34,0.11560000000000002,5.836985523367282,7.551662068710445,6.637556779418163,8.772337382812783,11.329423504713406,
10069,Nifty 50,18268.9,18338.1,18202.4,18321.15,35.75,.2,235915651,22411.41,21.28,4.29,1.43,2023-05-25,0.2,0.04000000000000001,6.061484966573723,4.860123455222108,5.631983664749039,8.766268665503548,10.857901660752704,
10176,Nifty 50,18368.35,18508.55,18333.15,18499.35,178.2,.97,198668359,19094.08,21.54,4.33,1.34,2023-05-26,0.97,0.9409,8.643228563447764,10.451086067964427,7.841910481508954,9.131749875542669,10.997380335211117,
10283,Nifty 50,18619.15,18641.2,18581.25,18598.65,99.3,.54,265323978,19237.57,21.65,4.35,1.34,2023-05-29,0.54,0.2916,4.82673802893831,6.12558568628341,7.695453203028396,8.89602945139009,11.014662708239017,
10390,Nifty 50,18606.65,18662.45,18575.5,18633.85,35.2,.19,234391323,21660.69,21.7,4.36,1.44,2023-05-30,0.19,0.0361,3.9287402561125475,6.20190293377768,7.685131098426363,8.821954670622956,10.964619077990069,
10497,Nifty 50,18594.2,18603.9,18483.85,18534.4,-99.45,-.53,696495765,70755.08,21.59,4.33,1.36,2023-05-31,-0.53,0.28090000000000004,8.081979955431668,8.660461881447208,8.74583100682834,8.995395137747446,10.969456130392711,
10604,Nifty 50,18579.4,18580.3,18464.55,18487.75,-46.65,-.25,265630759,24056.99,21.53,4.32,1.36,2023-06-01,-0.25,0.0625,3.142992204889993,5.7616664256098735,9.533696030396605,8.571831960432645,10.879859405248128,
10711,Nifty 50,18550.85,18573.7,18478.4,18534.1,46.35,.25,270923679,23171.88,21.58,4.33,1.45,2023-06-02,0.25,0.0625,5.6124860801608465,6.272607113473636,6.7611241668823086,7.5639419547440125,10.748577580312665,
10818,Nifty 50,18612,18640.15,18582.8,18593.85,59.75,.32,256111496,20369.16,21.65,4.35,1.44,2023-06-05,0.32,0.1024,0.7857480512220557,4.934734035386314,5.855950819465614,6.7326739037871635,10.31441379160284,
10925,Nifty 50,18600.8,18622.75,18531.6,18599.0,5.15,.03,220789926,21957.47,21.66,4.35,1.44,2023-06-06,0.03,0.0009,3.2552419264932158,2.4022489463001357,5.627731336871012,6.729836550764056,10.240694742719334,
11032,Nifty 50,18665.6,18738.95,18636,18726.4,127.4,.68,260109671,21482.77,21.81,4.38,1.43,2023-06-07,0.68,0.4624000000000001,7.296231904209137,5.169177884344873,5.4906065238732955,7.024187684820132,10.311804639114062,
11139,Nifty 50,18725.35,18777.9,18615.6,18634.55,-91.85,-.49,286468927,22762.3,21.7,4.36,1.44,2023-06-08,-0.49,0.24009999999999998,13.133217427576511,9.305675687450112,6.843919929397187,7.311580792428569,10.1670853280474,
