,S,K,T,GRU_price
246,20133.3,19450.0,3.0,609.09
247,19542.65,21250.0,20.0,2.43
248,18972.1,18750.0,8.0,236.81
249,21456.65,21900.0,6.0,40.75
250,19443.55,18650.0,3.0,694.45
251,19672.35,20650.0,38.0,22.74
252,19395.3,20650.0,7.0,2.43
253,19783.4,20850.0,2.0,2.43
254,19811.35,20300.0,78.0,244.66
255,19528.75,19750.0,16.0,73.66
256,19765.2,18950.0,0.0,733.09
257,19783.4,18300.0,9.0,1451.94
258,19443.55,20550.0,3.0,2.43
259,19675.45,23000.0,225.0,86.96
260,19778.3,20850.0,8.0,2.43
261,18826.0,18500.0,13.0,359.92
262,21654.75,18000.0,365.0,4817.95
263,19742.35,19650.0,0.0,134.13
264,19528.75,21450.0,2.0,2.43
265,19425.35,19800.0,76.0,293.29
266,20926.35,22200.0,1.0,2.43
267,19901.4,21350.0,36.0,2.43
268,19265.8,18500.0,489.0,2632.17
269,20103.1,21450.0,77.0,49.84
270,19675.45,21000.0,22.0,2.43
271,19745.0,17000.0,69.0,3104.76
272,19281.75,19800.0,3.0,2.43
273,19542.65,21200.0,6.0,2.43
274,19411.75,19300.0,24.0,257.42
275,19396.45,20400.0,9.0,2.43
276,19638.3,23000.0,89.99999999999999,2.43
277,19393.6,18600.0,38.0,894.51
278,19811.85,20000.0,64.0,352.58
279,19716.45,20400.0,29.0,18.54
280,20103.1,21350.0,0.0,2.43
281,19384.3,17600.0,1.0,1827.17
282,19393.6,18700.0,38.0,797.49
283,21731.4,22850.0,13.0,2.43
284,21255.05,19800.0,35.0,1622.1
285,19365.25,18700.0,0.0,580.31
286,19497.3,18400.0,0.0,1008.31
287,21182.7,19150.0,7.0,2063.54
288,19545.75,22000.0,448.0,589.87
289,19574.9,20500.0,16.0,2.43
290,21778.7,23050.0,28.0,2.43
291,19140.9,19900.0,3.0,2.43
292,19653.5,15000.0,83.0,4894.09
293,19819.95,20100.0,20.0,64.82
294,18856.85,18750.0,22.0,250.39
295,19993.2,20050.0,44.0,304.51
296,18755.9,17850.0,1.0,830.07
297,19675.45,17800.0,15.0,1877.09
298,21654.75,22550.0,8.0,2.43
299,19306.05,20400.0,10.0,2.43
300,19393.6,21150.0,17.0,2.43
301,19653.5,19900.0,6.0,30.54
302,19753.8,18900.0,31.0,910.82
303,20192.35,19150.0,6.0,956.65
304,19395.3,21100.0,21.0,2.43
305,19675.45,19250.0,1.0,367.19
306,19389.0,18300.0,9.0,1018.17
307,21182.7,21200.0,42.0,404.61
308,19624.7,19400.0,21.0,312.79
309,19396.45,20700.0,65.0,21.4
310,19395.3,20500.0,48.99999999999999,7.27
311,19381.65,20300.0,28.0,2.43
312,20937.7,21350.0,1.0,20.51
313,19611.05,19550.0,1.0,91.5
314,19331.8,19200.0,34.0,359.88
315,19133.25,18550.0,28.0,633.74
316,19381.65,19400.0,14.0,144.34
317,20969.4,19550.0,6.0,1380.36
318,19672.35,19200.0,38.0,655.52
319,19398.5,19500.0,29.0,179.81
320,19347.45,18100.0,29.0,1297.99
321,19331.8,20500.0,6.0,2.43
322,19802.0,18200.0,7.0,1581.29
323,20096.6,21100.0,56.99999999999999,61.97
324,19672.35,20600.0,38.0,31.13
325,19833.15,20700.0,29.0,2.43
326,19436.1,21050.0,85.0,19.64
327,19542.65,20600.0,27.0,2.43
328,19526.55,19400.0,1.0,150.4
329,19425.35,20800.0,20.0,2.43
330,18989.15,19700.0,56.99999999999999,89.94
331,19443.5,18050.0,1.0,1294.84
332,18817.4,20350.0,9.0,2.43
333,20192.35,20450.0,40.99999999999999,176.04
334,19731.8,18400.0,40.99999999999999,1472.58
335,19664.7,19950.0,16.0,52.01
336,20937.7,21600.0,50.0,137.6
337,19659.9,19500.0,7.0,219.63
338,19542.65,19100.0,40.99999999999999,602.56
339,18755.45,18150.0,3.0,573.23
340,21778.7,19800.0,0.0,1935.97
341,19819.95,19400.0,48.0,623.39
342,19733.55,18750.0,30.0,1035.61
343,19638.3,19950.0,20.0,63.99
344,19355.9,18600.0,3.0,687.59
345,19523.55,20000.0,63.00000000000001,181.81
346,21349.4,18000.0,6.0,3393.52
347,19783.4,21200.0,9.0,2.43
348,19765.2,19500.0,70.0,674.5
349,19574.9,16000.0,113.99999999999999,3957.97
350,19413.75,18900.0,77.0,859.42
351,19435.3,19000.0,55.00000000000001,676.89
352,18857.25,18600.0,28.0,393.51
353,21418.65,21150.0,3.0,325.75
354,19672.35,19550.0,10.0,221.76
355,19811.35,18900.0,1.0,831.23
356,19794.0,21700.0,48.99999999999999,2.43
357,19411.75,20000.0,416.0,1429.79
358,21418.65,21450.0,24.0,308.81
359,19465.0,20650.0,8.0,2.43
360,19671.1,18300.0,43.00000000000001,1511.29
361,19406.7,22000.0,142.0,17.05
362,19365.25,19300.0,0.0,103.25
363,19680.6,18700.0,2.0,917.07
364,19393.6,17700.0,10.0,1652.03
365,21255.05,19000.0,7.0,2304.97
366,19443.55,22000.0,227.0,169.36
367,20997.1,20100.0,10.0,891.4
368,19731.8,19400.0,13.0,369.01
369,19411.75,22000.0,143.0,9.66
370,20906.4,23000.0,198.0,242.01
371,21453.1,18950.0,9.0,2546.98
372,19811.5,20200.0,2.0,2.43
373,19794.0,20150.0,48.99999999999999,163.42
374,18989.15,21050.0,1.0,2.43
375,18972.1,17550.0,29.0,1447.4
376,19659.9,17200.0,7.0,2484.53
377,19794.0,19700.0,21.0,247.05
378,19322.55,20500.0,17.0,2.43
379,20855.1,21250.0,30.0,116.27
380,21349.4,19750.0,6.0,1602.58
381,18716.15,17400.0,2.0,1275.04
382,19079.6,19450.0,58.0,193.86
383,19694.0,19700.0,10.0,127.19
384,19778.3,20200.0,8.0,15.35
385,19675.45,20850.0,29.0,2.43
386,19435.3,20100.0,55.00000000000001,89.9
387,19398.5,19500.0,8.0,61.58
388,21456.65,20800.0,6.0,669.3
389,19381.65,19450.0,84.0,514.74
390,19727.05,19200.0,0.0,435.5
391,19543.1,21300.0,14.0,2.43
392,21255.05,20850.0,21.0,579.67
393,19638.3,19850.0,6.0,42.56
394,20855.1,20900.0,23.0,252.16
395,19672.35,19050.0,3.0,559.44
396,20937.7,21150.0,8.0,83.08
397,19079.6,18850.0,2.0,207.29
398,20096.6,21400.0,22.0,2.43
399,19574.9,18400.0,2.0,1108.98
400,19742.35,17750.0,0.0,1963.3
401,19443.5,18900.0,22.0,564.92
402,19597.3,17800.0,24.0,1807.9
403,19281.75,19500.0,38.0,178.15
404,19497.3,19200.0,0.0,250.68
405,19436.1,20600.0,1.0,2.43
406,19517.0,20450.0,27.0,2.43
407,20969.4,19950.0,20.0,1070.36
408,19528.75,20200.0,16.0,2.43
409,19819.95,19900.0,20.0,137.16
410,19570.85,20100.0,2.0,2.43
411,18826.0,19000.0,34.0,172.69
412,19811.5,18650.0,9.0,1087.11
413,21654.75,21350.0,1.0,364.9
414,20855.1,21750.0,51.00000000000001,95.21
415,19597.3,19300.0,80.0,727.07
416,19638.3,19700.0,89.99999999999999,508.46
417,19611.05,18700.0,22.0,907.42
418,18771.25,16450.0,35.0,2447.97
419,18816.7,16900.0,9.0,1924.42
420,19802.0,19300.0,35.0,640.0
421,19413.75,20200.0,21.0,2.43
422,19230.6,20650.0,34.0,2.43
423,19653.5,13000.0,83.0,6889.84
424,20937.7,19550.0,1.0,1398.42
425,18972.1,19900.0,8.0,2.43
426,19389.0,19250.0,58.0,470.9
427,19443.55,19200.0,17.0,302.68
428,19624.7,20500.0,28.0,2.43
429,19122.15,20250.0,29.0,2.43
430,19355.9,20150.0,10.0,2.43
431,21654.75,21250.0,8.0,498.32
432,20855.1,20400.0,16.0,546.43
433,19542.65,20450.0,20.0,2.43
434,19434.55,20000.0,500.0,1649.78
435,19778.3,16800.0,1.0,2974.07
436,19778.3,12000.0,64.0,8049.95
437,19819.95,20800.0,48.0,25.59
438,19265.8,15000.0,125.0,4723.05
439,19389.0,19500.0,16.0,91.88
440,18688.1,17100.0,7.0,1603.29
441,19253.8,20100.0,28.0,2.43
442,18972.1,19800.0,29.0,2.43
443,20103.1,19100.0,42.0,1122.95
444,19833.15,20650.0,15.0,2.43
445,19133.25,17700.0,0.0,1344.77
446,19436.1,19000.0,267.0,1598.61
447,19689.85,21250.0,2.0,2.43
448,19597.3,20600.0,3.0,2.43
449,19411.75,20650.0,24.0,2.43
450,19672.35,20200.0,66.0,209.53
451,20997.1,20150.0,3.0,805.21
452,19680.6,21150.0,2.0,2.43
453,21349.4,22700.0,13.0,2.43
454,19727.05,19500.0,48.99999999999999,480.26
455,19819.95,21200.0,48.0,2.43
456,19428.3,19300.0,13.0,215.01
457,19664.7,18000.0,2.0,1624.06
458,20926.35,15000.0,15.0,6068.88
459,19742.35,19000.0,0.0,653.98
460,18972.1,18000.0,547.0,2817.97
461,19386.7,17900.0,7.0,1457.15
462,19230.6,20000.0,6.0,2.43
463,20096.6,18400.0,1.0,1723.26
464,20926.35,22400.0,1.0,2.43
465,18755.45,19000.0,374.0,1441.12
